,estimator,min_score,mean_score,max_score,std_score,C,gamma,kernel,n_neighbors,weights,max_depth,max_features,min_samples_split,n_estimators,learning_rate,min_samples_leaf,loss,alpha,l1_ratio,max_iter
808,DecisionTreeRegressor,0.542727573,0.57903528,0.647560882,0.048483675,NAN,NAN,NAN,,,194,sqrt,,,,,,,,
442,DecisionTreeRegressor,0.559626942,0.578954236,0.616773624,0.026744519,NAN,NAN,NAN,,,72,sqrt,,,,,,,,
1109,DecisionTreeRegressor,0.362287081,0.578831419,0.772178274,0.168139406,NAN,NAN,NAN,,,294,log2,,,,,,,,
2260,DecisionTreeRegressor,0.41157599,0.578791461,0.715523578,0.125944327,NAN,NAN,NAN,,,678,sqrt,,,,,,,,
3209,DecisionTreeRegressor,0.434615209,0.578765632,0.652818767,0.101942535,NAN,NAN,NAN,,,994,log2,,,,,,,,
1218,DecisionTreeRegressor,0.358025491,0.578701676,0.766361703,0.168329371,NAN,NAN,NAN,,,330,,,,,,,,,
2000,DecisionTreeRegressor,0.433833607,0.578610208,0.691813654,0.107660189,NAN,NAN,NAN,,,591,log2,,,,,,,,
1721,DecisionTreeRegressor,0.326803528,0.578417679,0.771392431,0.186178691,NAN,NAN,NAN,,,498,log2,,,,,,,,
374,DecisionTreeRegressor,0.470027521,0.578410792,0.762352856,0.130755176,NAN,NAN,NAN,,,49,log2,,,,,,,,
2945,DecisionTreeRegressor,0.284336466,0.578263218,0.748866487,0.208731959,NAN,NAN,NAN,,,906,log2,,,,,,,,
1561,DecisionTreeRegressor,0.474578544,0.578243219,0.648046713,0.074756209,NAN,NAN,NAN,,,445,sqrt,,,,,,,,
1607,DecisionTreeRegressor,0.382601691,0.57819579,0.696672528,0.139332787,NAN,NAN,NAN,,,460,log2,,,,,,,,
967,DecisionTreeRegressor,0.508854228,0.577926679,0.701084204,0.087300199,NAN,NAN,NAN,,,247,sqrt,,,,,,,,
1867,DecisionTreeRegressor,0.538360298,0.577393417,0.597658378,0.027607347,NAN,NAN,NAN,,,547,sqrt,,,,,,,,
461,DecisionTreeRegressor,0.435602959,0.577149658,0.727729301,0.119431,NAN,NAN,NAN,,,78,log2,,,,,,,,
1705,DecisionTreeRegressor,0.467404624,0.577091487,0.723880634,0.10794264,NAN,NAN,NAN,,,493,sqrt,,,,,,,,
339,DecisionTreeRegressor,0.360404822,0.577002393,0.751767189,0.162488177,NAN,NAN,NAN,,,37,,,,,,,,,
2522,DecisionTreeRegressor,0.450729883,0.576991086,0.785585017,0.148584429,NAN,NAN,NAN,,,765,log2,,,,,,,,
2771,DecisionTreeRegressor,0.511156343,0.576901463,0.66305594,0.063669869,NAN,NAN,NAN,,,848,log2,,,,,,,,
2396,DecisionTreeRegressor,0.462963364,0.576900562,0.703809859,0.098752097,NAN,NAN,NAN,,,723,log2,,,,,,,,
1622,DecisionTreeRegressor,0.43856473,0.576698979,0.738242902,0.123457851,NAN,NAN,NAN,,,465,log2,,,,,,,,
